               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.026774,            0.026145,            0.001168,             0.73492,             0.78305,             0.79103,             0.42787,            0.033499,             0.01405,           0.0002627,             0.07027,           0.0033033,           0.0033033
                   1,            0.028373,            0.026819,          0.00096344,             0.62057,             0.77403,             0.73524,             0.39205,            0.037059,            0.016997,          0.00059509,            0.040248,           0.0066147,           0.0066147
                   2,            0.030919,             0.02765,           0.0013741,              0.6357,             0.68111,             0.70907,             0.36163,            0.039469,            0.014458,           0.0008008,            0.010204,           0.0099042,           0.0099042
                   3,            0.033243,            0.028586,           0.0017709,               0.617,             0.73383,             0.71409,             0.38362,            0.040538,            0.014023,          0.00062871,            0.009901,            0.009901,            0.009901
                   4,            0.033798,            0.030241,           0.0023528,              0.5798,             0.66721,             0.63099,             0.36397,            0.036483,             0.01425,          0.00045512,            0.009901,            0.009901,            0.009901
                   5,            0.034638,            0.030219,           0.0025476,             0.68169,             0.70176,             0.73441,             0.41356,            0.037756,            0.012526,          0.00087533,            0.009868,            0.009868,            0.009868
                   6,            0.033666,            0.030181,            0.002055,             0.60558,             0.73184,             0.73756,             0.37253,            0.036242,            0.014001,           0.0008184,            0.009835,            0.009835,            0.009835
                   7,            0.033957,            0.030674,           0.0019714,             0.58311,             0.72256,             0.72478,             0.39625,            0.037586,            0.014227,           0.0015063,            0.009802,            0.009802,            0.009802
                   8,            0.033318,            0.030641,           0.0020553,             0.54496,             0.79861,             0.68492,             0.32117,            0.034807,            0.013839,          0.00078235,            0.009769,            0.009769,            0.009769
                   9,            0.033229,            0.030632,           0.0020034,              0.6052,             0.69463,             0.63962,             0.30249,            0.039755,            0.013896,          0.00065989,            0.009736,            0.009736,            0.009736
                  10,            0.032974,            0.030065,           0.0020469,             0.56918,             0.67592,             0.67371,             0.36728,            0.040516,            0.013872,          0.00080695,            0.009703,            0.009703,            0.009703
                  11,            0.033392,            0.029724,           0.0022951,             0.65612,             0.67863,             0.68267,             0.38576,            0.033979,             0.01505,          0.00072312,             0.00967,             0.00967,             0.00967
                  12,             0.03309,            0.030219,           0.0022777,             0.60422,             0.71546,             0.70112,             0.36606,            0.036475,            0.014078,          0.00074272,            0.009637,            0.009637,            0.009637
                  13,            0.033173,            0.029817,           0.0021917,             0.71164,             0.81224,             0.79565,             0.39131,            0.037692,            0.013981,          0.00074129,            0.009604,            0.009604,            0.009604
                  14,            0.033485,            0.030455,           0.0028436,              0.5643,              0.5409,             0.62885,             0.29174,            0.046883,            0.015841,           0.0014186,            0.009571,            0.009571,            0.009571
                  15,            0.032768,            0.029959,           0.0026203,             0.44716,             0.44777,             0.42807,             0.17573,            0.052251,            0.016337,           0.0036744,            0.009538,            0.009538,            0.009538
                  16,            0.032984,            0.031032,           0.0026518,             0.76654,             0.52892,             0.61633,             0.28357,            0.045687,            0.015039,           0.0021463,            0.009505,            0.009505,            0.009505
                  17,            0.032948,            0.030543,           0.0021125,             0.52697,             0.71241,             0.65297,             0.31298,            0.043094,            0.015541,          0.00090866,            0.009472,            0.009472,            0.009472
                  18,            0.033144,            0.029569,           0.0018978,             0.37069,             0.44444,             0.43653,             0.20101,            0.059001,            0.018956,           0.0051464,            0.009439,            0.009439,            0.009439
                  19,             0.03265,            0.030119,           0.0024259,             0.65852,             0.62824,             0.63796,             0.35001,            0.035324,            0.015917,           0.0006732,            0.009406,            0.009406,            0.009406
                  20,            0.032523,            0.029636,           0.0019217,             0.68504,             0.72888,             0.74642,             0.38293,            0.035608,            0.014742,          0.00069537,            0.009373,            0.009373,            0.009373
                  21,            0.032267,            0.029394,           0.0019114,             0.71072,             0.75992,             0.75447,             0.38349,            0.036304,            0.013405,          0.00057428,             0.00934,             0.00934,             0.00934
                  22,            0.032125,            0.029977,            0.001812,             0.66567,             0.76497,             0.73161,              0.3946,            0.037774,             0.01512,          0.00068944,            0.009307,            0.009307,            0.009307
                  23,            0.031887,            0.029904,            0.002115,             0.70498,             0.66995,             0.70774,             0.36815,            0.035971,            0.014185,          0.00059159,            0.009274,            0.009274,            0.009274
                  24,            0.032546,            0.029683,            0.001803,             0.68625,             0.73918,             0.71774,             0.33906,            0.036483,             0.01466,          0.00052879,            0.009241,            0.009241,            0.009241
                  25,            0.031196,             0.02926,            0.001635,             0.62054,             0.77506,             0.70622,             0.36709,            0.038564,            0.014612,          0.00083742,            0.009208,            0.009208,            0.009208
                  26,            0.030901,            0.029023,           0.0016171,             0.72504,             0.42714,             0.47863,             0.21752,            0.049105,            0.016035,           0.0011084,            0.009175,            0.009175,            0.009175
                  27,            0.030768,             0.02888,           0.0018835,             0.69035,             0.71546,             0.73605,             0.42485,            0.034241,            0.014887,          0.00051627,            0.009142,            0.009142,            0.009142
                  28,             0.03184,            0.029087,           0.0019018,             0.72058,             0.74703,             0.71945,             0.41519,            0.036697,             0.01462,           0.0006556,            0.009109,            0.009109,            0.009109
                  29,            0.030897,            0.028708,           0.0021289,             0.64299,             0.70704,             0.72986,             0.39685,            0.033606,            0.014474,          0.00054381,            0.009076,            0.009076,            0.009076
                  30,            0.030617,            0.029322,           0.0018698,             0.71179,             0.69383,             0.69714,              0.3725,            0.043194,            0.014395,           0.0010612,            0.009043,            0.009043,            0.009043
                  31,            0.031153,            0.028601,            0.001908,             0.62947,              0.7541,             0.69801,             0.31859,            0.038217,            0.014561,          0.00058465,             0.00901,             0.00901,             0.00901
                  32,              0.0316,            0.028512,           0.0016275,              0.6012,             0.72858,             0.68383,             0.39144,            0.036662,            0.014984,          0.00055404,            0.008977,            0.008977,            0.008977
                  33,            0.031371,            0.028248,           0.0016536,             0.68205,             0.64141,             0.71038,             0.42691,            0.037906,            0.014083,          0.00071297,            0.008944,            0.008944,            0.008944
                  34,            0.030717,            0.028355,           0.0014702,             0.83471,             0.62486,             0.71935,             0.37543,            0.040227,            0.012547,           0.0005785,            0.008911,            0.008911,            0.008911
                  35,            0.030644,            0.027894,           0.0014619,             0.73173,             0.76478,             0.74627,             0.37944,            0.039449,            0.014543,          0.00051706,            0.008878,            0.008878,            0.008878
                  36,            0.031143,            0.028155,           0.0014363,             0.73455,             0.57874,              0.6574,             0.34811,             0.03852,            0.014644,          0.00057414,            0.008845,            0.008845,            0.008845
                  37,            0.030598,            0.027925,           0.0015053,             0.64777,             0.75481,             0.77058,             0.43735,            0.034427,            0.015834,          0.00076947,            0.008812,            0.008812,            0.008812
                  38,            0.030209,            0.028018,           0.0016178,             0.66629,             0.73043,             0.70273,             0.40929,            0.036281,            0.015741,          0.00058365,            0.008779,            0.008779,            0.008779
                  39,            0.030501,            0.028416,            0.001657,             0.56571,             0.74953,             0.71058,             0.41706,            0.034826,            0.014564,          0.00050368,            0.008746,            0.008746,            0.008746
                  40,            0.030829,            0.027837,           0.0014859,             0.61283,             0.82199,             0.72679,             0.40225,            0.037133,            0.014338,          0.00054417,            0.008713,            0.008713,            0.008713
                  41,            0.030397,            0.028631,           0.0014563,             0.84963,             0.77875,             0.78129,             0.38131,            0.034116,              0.0146,          0.00058773,             0.00868,             0.00868,             0.00868
                  42,             0.02986,            0.026879,           0.0013804,              0.6652,             0.73221,             0.69612,             0.35629,            0.035532,            0.015734,          0.00055389,            0.008647,            0.008647,            0.008647
                  43,            0.030128,             0.02811,            0.001411,             0.59581,             0.73929,             0.67812,             0.33965,            0.035636,            0.016618,          0.00082541,            0.008614,            0.008614,            0.008614
                  44,            0.030032,            0.027237,           0.0013814,             0.69372,             0.71961,             0.76188,             0.42431,            0.033303,              0.0145,          0.00052829,            0.008581,            0.008581,            0.008581
                  45,            0.029821,            0.027981,           0.0015024,             0.70889,             0.72135,             0.78017,             0.43858,            0.034834,            0.013907,          0.00065246,            0.008548,            0.008548,            0.008548
                  46,            0.029827,            0.028307,           0.0013897,             0.73166,             0.75898,             0.74569,             0.40276,             0.03794,            0.014577,          0.00053444,            0.008515,            0.008515,            0.008515
                  47,             0.02969,            0.027595,           0.0013809,             0.72291,             0.74523,             0.75218,             0.43707,            0.033528,            0.014843,           0.0004735,            0.008482,            0.008482,            0.008482
                  48,            0.029874,            0.027344,           0.0013449,              0.6409,             0.67003,              0.6716,             0.36309,            0.038273,            0.016328,          0.00095251,            0.008449,            0.008449,            0.008449
                  49,            0.030099,            0.027904,           0.0014053,             0.64276,             0.66212,              0.6621,             0.28288,            0.041012,             0.01544,          0.00068536,            0.008416,            0.008416,            0.008416
                  50,            0.029488,            0.027999,           0.0016865,             0.83543,              0.7435,             0.79045,             0.41957,             0.03428,            0.015625,           0.0004102,            0.008383,            0.008383,            0.008383
                  51,             0.02984,            0.028025,            0.001475,             0.79204,             0.81312,              0.7778,              0.4252,            0.036012,             0.01464,          0.00054731,             0.00835,             0.00835,             0.00835
                  52,            0.030067,            0.027346,           0.0015275,             0.66195,              0.7388,             0.67991,             0.35971,            0.041495,              0.0151,           0.0004504,            0.008317,            0.008317,            0.008317
                  53,            0.028957,            0.027381,           0.0014546,             0.75454,             0.76211,             0.76743,             0.40438,            0.034715,            0.014646,          0.00044553,            0.008284,            0.008284,            0.008284
                  54,            0.028572,            0.027298,           0.0010843,             0.74341,             0.57284,             0.59616,             0.26292,            0.039869,            0.015217,           0.0012797,            0.008251,            0.008251,            0.008251
                  55,            0.029285,            0.027317,           0.0015503,             0.59607,             0.80495,             0.74657,              0.4054,            0.032632,            0.016212,          0.00055683,            0.008218,            0.008218,            0.008218
                  56,            0.028904,            0.026983,           0.0016571,             0.61631,              0.8075,             0.72959,              0.3931,            0.036179,            0.016336,          0.00054889,            0.008185,            0.008185,            0.008185
                  57,            0.029491,            0.026864,            0.001794,             0.69807,             0.81844,             0.79551,             0.42836,            0.038389,            0.014611,          0.00039239,            0.008152,            0.008152,            0.008152
                  58,            0.028926,            0.027183,           0.0011036,             0.70291,             0.75835,             0.75371,             0.38649,            0.039198,            0.014708,          0.00046427,            0.008119,            0.008119,            0.008119
                  59,            0.029067,            0.027415,           0.0016479,             0.69181,             0.63795,             0.69506,             0.35557,            0.036255,             0.01663,          0.00076404,            0.008086,            0.008086,            0.008086
                  60,            0.029109,            0.027187,           0.0014614,             0.74184,             0.82803,             0.79474,             0.42226,            0.036291,            0.014344,          0.00037873,            0.008053,            0.008053,            0.008053
                  61,            0.028575,            0.027497,           0.0015795,             0.72422,             0.74124,             0.74931,             0.37014,             0.03891,            0.014775,          0.00046642,             0.00802,             0.00802,             0.00802
                  62,            0.029263,             0.02759,           0.0014553,             0.76557,             0.75135,             0.75017,             0.41263,            0.035573,             0.01554,          0.00049474,            0.007987,            0.007987,            0.007987
                  63,            0.028964,            0.026708,           0.0012812,             0.75527,             0.69733,             0.75892,             0.38997,            0.039504,            0.016347,          0.00043838,            0.007954,            0.007954,            0.007954
                  64,            0.028739,            0.027659,           0.0012803,             0.70747,             0.79038,             0.73664,             0.35981,             0.04105,            0.015622,          0.00031357,            0.007921,            0.007921,            0.007921
                  65,            0.028485,            0.027201,           0.0013888,             0.64059,             0.73705,             0.68443,              0.3555,            0.035811,            0.015809,          0.00052671,            0.007888,            0.007888,            0.007888
                  66,            0.029281,            0.026958,           0.0013115,             0.84681,             0.75409,                0.81,             0.39824,             0.03708,            0.015156,          0.00052714,            0.007855,            0.007855,            0.007855
